# ref_schools — India schools seed (Build 2b, T1: chains + CISCE + curated).
# Sources: deedy/cbse_schools_data + deedy/cisce_schools_data (both CC-BY-SA-4.0). School
# names + districts are public CBSE/government FACTS (not copyrightable); re-expressed and
# normalized here, used as facts WITH attribution. Underlying authority: CBSE / CISCE.
# Tags: deedy rows source='deedy', curated international top-up source='seed'.
# Name format: '{Title name}, {District}, {State}' (CBSE chains) / '{name}, {State}' (CISCE,
# no district column) / '{name}, {City}, {State}' (curated). LENIENT field — never blocks signup.
name,aliases,source
"A K Dav Public School, Kurukeshtra, Haryana","{""DAV""}",deedy
"A.B.V.M. Agrawal Jatiya Kosh's Seth Juggilal Poddar Academy, Maharashtra",{},deedy
"A.C. School, Karnataka",{},deedy
"A.P. International School, Maharashtra",{},deedy
"A.d.l.s. Sunshine School, Jharkhand",{},deedy
"Aachi International School, Tamilnadu",{},deedy
"Aavishkar Academy, Karnataka",{},deedy
"Abacus Montessori School, Tamilnadu",{},deedy
"Abbot Shishu Hall, West Bengal",{},deedy
"Abhinav Vidyalay, Maharashtra",{},deedy
"Abhyasa Residential Public School, Andhra Pradesh",{},deedy
"Acharya Pathasala Public School, Karnataka",{},deedy
"Acharya Vidya Kula, Karnataka",{},deedy
"Acme Academy, West Bengal",{},deedy
"Acme Public School, Uttar Pradesh",{},deedy
"Activity High School, Maharashtra",{},deedy
"Acts Secondary School, Karnataka",{},deedy
"Adamas International School, West Bengal",{},deedy
"Adarsh Public School, Haryana",{},deedy
"Adhyayan School, Karnataka",{},deedy
"Aditya Birla World Academy, Mumbai, Maharashtra",{},seed
"Aditya Public School, Karnataka",{},deedy
"Agape Mission School, Uttarakhand",{},deedy
"Agrasain Balika Siksha Sadan, West Bengal",{},deedy
"Agrasain Boys' School, West Bengal",{},deedy
"Agrasen Dav Pub. School, Hazaribagh, Jharkhand","{""DAV""}",deedy
"Aham Aathma Vidyalaya, Karnataka",{},deedy
"Akal Academy, Punjab",{},deedy
"Akash International Residential Public School, Karnataka",{},deedy
"Aklavya International School, Puducherry",{},deedy
"Akshar, West Bengal",{},deedy
"Akshara High School, Maharashtra",{},deedy
"Akshara Residential School, Karnataka",{},deedy
"Al Falah Internation Delhi Public School, Saudi Arabia, Foreign Schools","{""DPS"",""Delhi Public School""}",deedy
"Al Huda Model School, Uttar Pradesh",{},deedy
"Al Madrasa Tus Saifiya Tul Burhaniyah, Andhra Pradesh",{},deedy
"Al Madrasa-Tus-Saifiya-Tul-Burhaniah, Gujarat",{},deedy
"Albany Hall Public School, West Bengal",{},deedy
"Aleemee Public School, Karnataka",{},deedy
"Alexandra School, Punjab",{},deedy
"All Saints Church School, West Bengal",{},deedy
"All Saints College, Uttarakhand",{},deedy
"All Saints Convent School, Punjab",{},deedy
"All Saints Convent School, Uttarakhand",{},deedy
"All Saints School, Uttar Pradesh",{},deedy
"All Saints' School, Uttarakhand",{},deedy
"Alphonsa Residential School, Kerala",{},deedy
"Alphonsa School, West Bengal",{},deedy
"Alpine Public School, Punjab",{},deedy
"Alwardas Public School, Andhra Pradesh",{},deedy
"Amalambika Convent English School, Kerala",{},deedy
"Amarajyothi English Primary School, Karnataka",{},deedy
"Amarjyoti Saraswati International School, Gujarat",{},deedy
"Amarvani School, Odisha",{},deedy
"Amazon International School, Tamilnadu",{},deedy
"Ambassador School, Dubai",{},deedy
"Amber Valley Residential School, Karnataka",{},deedy
"Ambrosial Public School, Punjab",{},deedy
"American Embassy School, New Delhi, Delhi","{""AES""}",seed
"American Friendship Residential School, Karnataka",{},deedy
"Amrita Vidyalayam, Kerala",{},deedy
"Anand Bhawan School, Uttar Pradesh",{},deedy
"Anand Niketan, Gujarat",{},deedy
"Anantha International School, Karnataka",{},deedy
"Anantha Vidyaniketana, Karnataka",{},deedy
"Anchorwala Education Academy, Maharashtra",{},deedy
"Andhra Association English School, Jharkhand",{},deedy
"Angel English Medium School, Gujarat",{},deedy
"Anglo - Arabic Secondary School, West Bengal",{},deedy
"Anita Public School, Kerala",{},deedy
"Ann Mary School, Uttarakhand",{},deedy
"Anubhuti School, Maharashtra",{},deedy
"Apex Academy, West Bengal",{},deedy
"Apex Public School, Uttar Pradesh",{},deedy
"Appollo National Public School, Karnataka",{},deedy
"Aradhana School, Karnataka",{},deedy
"Armenian College And Philanthropic Academy, West Bengal",{},deedy
"Arvind International School, Karnataka",{},deedy
"Arya Vidya Mandir, Maharashtra",{},deedy
"Aryan Presidency School, Karnataka",{},deedy
"Asansol St. Anthony Secondary School, West Bengal",{},deedy
"Ashok Hall Girls' Residential School, Uttarakhand",{},deedy
"Ashoka Universal School, Maharashtra",{},deedy
"Assembly Of Angels Secondary School, West Bengal",{},deedy
"Assembly Of Christ School, West Bengal",{},deedy
"Assembly Of God Church School, Uttar Pradesh",{},deedy
"Assembly Of God Church School, West Bengal",{},deedy
"Assisi Convent School, Uttar Pradesh",{},deedy
"Assumption Convent School, Punjab",{},deedy
"Assumption Samutprakarn, Thailand",{},deedy
"Athena Public School, Karnataka",{},deedy
"Attibele Public School, Karnataka",{},deedy
"Atul Vidyalaya, Gujarat",{},deedy
"Auckland House School For Boys, Himachal Pradesh",{},deedy
"Auckland House School, Himachal Pradesh",{},deedy
"Auden Institute Of Education, Karnataka",{},deedy
"Augustine's Public School, West Bengal",{},deedy
"Authpur National Model School, West Bengal",{},deedy
"Auxilium Convent School, West Bengal",{},deedy
"Auxilium English Medium School, Kerala",{},deedy
"Auxilium Nava Jyoti School, Kerala",{},deedy
"Auxilium School, Karnataka",{},deedy
"Auxilium School, Kerala",{},deedy
"Avalon Heights International School, Maharashtra",{},deedy
"Avs Central School, Tamilnadu",{},deedy
"Awasiya Delhi Public School, Champaran West, Bihar","{""DPS"",""Delhi Public School""}",deedy
"B G S World School, Karnataka",{},deedy
"B V M International School, Punjab",{},deedy
"B. G. Public School, Uttar Pradesh",{},deedy
"B.B.S.B. Convent School, Punjab",{},deedy
"B.D. Memorial English High School, West Bengal",{},deedy
"B.P. Indian Public School, Karnataka",{},deedy
"B.P.S. Public School, Uttar Pradesh",{},deedy
"B.R.D.A.V Public School, Begusarai, Bihar","{""DAV""}",deedy
"B.m. English School, Karnataka",{},deedy
"Baalak Yesu Convent School, Punjab",{},deedy
"Babu Brish Bhan Dav Pub School, Sangrur, Punjab","{""DAV""}",deedy
"Badri Narayan Shah Dav Pub Sch, Giridih, Jharkhand","{""DAV""}",deedy
"Bal Bharatiya English School, Uttar Pradesh",{},deedy
"Bal Bharti Public School, Uttar Pradesh",{},deedy
"Bal Vidya Bhawan Public School, Uttar Pradesh",{},deedy
"Bala Hissar Academy, Uttarakhand",{},deedy
"Baldwin Boys' High School, Karnataka",{},deedy
"Baldwin Co-Education Extension High School, Karnataka",{},deedy
"Baldwin Girls' High School, Karnataka",{},deedy
"Bangalore International Public School, Karnataka",{},deedy
